2022-11-30 19:45:19.141 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:20.144 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:21.149 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:22.154 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:23.159 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:24.164 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:25.168 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:26.173 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:27.178 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:28.183 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:29.186 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:30.191 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:31.195 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:32.2 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:33.204 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:34.209 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:35.214 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:36.218 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:37.223 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:38.226 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:39.231 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:40.233 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:41.238 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:42.242 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:43.247 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:44.252 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:45.256 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:46.26 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:47.263 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:48.267 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:49.272 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:50.277 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:51.279 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:52.284 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:53.288 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:54.292 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:55.298 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:56.302 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:57.305 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
2022-11-30 19:45:58.309 DEBUG (main.go:main.Run:25) user server is running, :/Users/hxadmin/workspace/study-notes/go/logger
